gid,title,authors[0],average_rating,description,num_pages,publication_date
66,"The Changeling (Daughters of England, #15)",Philippa Carr,3.98,"Rebecca Mandeville<br /><br />The story of <em>The Changeling</em> is told by Angelet's daughter, Rebecca, who was born in Benedict Lansdon's grandfather's house in an Australian gold-mining township. Before Rebecca was born, her father had died saving another man's life. She had always looked up to him as a great hero and when she heard that her mother was to marry Benedict Lansdon, she was deeply shocked.<br /><br />The prolific British author of historical romances (<em>The Pool of St. Branok</em>) continues her lavishly entwined narrative of the families connected to Benedict Lansdon, now a recently bereaved widower, absentee father and wealthy seeker of a Parliament seat. Narrated by Benedict's aggrieved stepdaughter, Rebecca, this complex tale of love and betrayal concerns a three-cornered sibling relationship involving Rebecca, her half-sister, Belinda, and Lucie, a country waif informally adopted by Rebecca. Aware that her father blames her for her mother's death in childbirth, Belinda takes refuge in michievous behavior. Placid Lucie, however, fits in well with the family, though her lineage is suspect and clouded with mysterious events at St. Branok's pool. Although Belinda seems the most obvious ""changeling"", Carr sustains an air of doubt and intrigue. The ambience of the Cornish countryside and of Victorian London permeate this piquantly Gothic family saga.",369,"('8', '28', '1990')"
67,The Known World,Edward P. Jones,3.83,"One of the most acclaimed novels in recent memory, <i>The Known World</i> is a daring and ambitious work by Pulitzer Prize winner Edward P. Jones.<br /><br /><i>The Known World</i> tells the story of Henry Townsend, a black farmer and former slave who falls under the tutelage of William Robbins, the most powerful man in Manchester County, Virginia. Making certain he never circumvents the law, Townsend runs his affairs with unusual discipline. But when death takes him unexpectedly, his widow, Caldonia, can't uphold the estate's order, and chaos ensues. Jones has woven a footnote of history into an epic that takes an unflinching look at slavery in all its moral complexities.",388,"('8', '29', '2006')"
68,The Known World,Edward P. Jones,3.83,"In one of the most acclaimed novels in recent memory, Edward P. Jones, two-time National Book Award finalist, tells the story of Henry Townsend, a black farmer and former slave who falls under the tutelage of William Robbins, the most powerful man in Manchester County, Virginia. Making certain he never circumvents the law, Townsend runs his affairs with unusual discipline. But when death takes him unexpectedly, his widow, Caldonia, can't uphold the estate's order and chaos ensues. In a daring and ambitious novel, Jones has woven a footnote of history into an epic that takes an unflinching look at slavery in all of its moral complexities.<br /><br />Performed by Kevin Free",14,"('6', '15', '2004')"
69,The Known World,Edward P. Jones,3.83,"In one of the most acclaimed novels in recent memory, Edward P. Jones, two-time National Book Award finalist, tells the story of Henry Townsend, a black farmer and former slave who falls under the tutelage of William Robbins, the most powerful man in Manchester County, Virginia. Making certain he never circumvents the law, Townsend runs his affairs with unusual discipline. But when death takes him unexpectedly, his widow, Caldonia, can't uphold the estate's order and chaos ensues. In a daring and ambitious novel, Jones has woven a footnote of history into an epic that takes an unflinching look at slavery in all of its moral complexities.",576,"('6', '15', '2004')"
71,"Traders, Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives",Satyajit Das,3.83,"Warren Buffett once memorably described derivatives as ""financial weapons of mass destruction"". Read this sensational and controversial account of the often dazzling business of derivatives trading, and see if you agree.<br /><br />No money is ever really made in financial markets. Markets merely transfer wealth. As to <i>how</i> to make money? Well, it is basically theft, misrepresentation, lies, cheating, deception or force. It is impossible to make the staggering amounts made in derivatives in good years honestly.<br /><br /><i>Traders, Guns &amp; Money </i>is a wry and wickedly comic exposé of the culture, games, and pure deceptions played out every day in trading rooms around the world, usually with other people's money. Whether you move in the financial world yourself, know people who do, or have money invested in stocks, shares or derivatives, this is a fascinating read guaranteed to make you think.",334,"('5', '15', '2006')"
72,Artesia: Adventures in the Known World,Mark Smylie,4.15,"The award-winning graphic novel Artesia comes to life in the Adventures in the Known World RPG, using a modified and easy-to-use Fuzion-based roleplaying system to plunge players into the strife-riven realms of the Known World, from the Warring Citadels of the Daragjan Highlands to the never-ending feud between the Sun Court of Illia and the Phoenix Court of the Empire of Thessid-Gola. Includes an expansive adaptation of R. Talsorian Games' LifePath character-generation system including birth omens, star signs and divine and heroic lineages, and rules for talents and abilities accessible to characters through the Arcana, the Tarot-like system representing the Known World's archetypal paths of power and the foundation of an unique system of experience, allowing game rewards for virtually all types of character actions.",352,"('12', '14', '2005')"
73,The Known World,Edward P. Jones,3.83,"One of the most acclaimed novels in recent memory, <i>The Known World</i> is a daring and ambitious work by Pulitzer Prize winner Edward P. Jones.<br /><br /><i>The Known World</i> tells the story of Henry Townsend, a black farmer and former slave who falls under the tutelage of William Robbins, the most powerful man in Manchester County, Virginia. Making certain he never circumvents the law, Townsend runs his affairs with unusual discipline. But when death takes him unexpectedly, his widow, Caldonia, can't uphold the estate's order, and chaos ensues. Jones has woven a footnote of history into an epic that takes an unflinching look at slavery in all its moral complexities.",388,"(None, None, '2003')"
74,"The John McPhee Reader (John McPhee Reader, #1)",John McPhee,4.42,"<i>The John McPhee Reader</i>, first published in 1976, is comprised of selections from the author's first twelve books. In 1965, John McPhee published his first book, <i>A Sense of Where You Are</i>; a decade later, he had published eleven others. His fertility, his precision and grace as a stylist, his wit and uncanny brilliance in choosing subject matter, his crack storytelling skills have made him into one of our best writers: a journalist whom L.E. Sissman ranked with Liebling and Mencken, who Geoffrey Wolff said ""is bringing his work to levels that have no measurable limit,"" who has been called ""a master craftsman"" so many times that it is pointless to number them.",416,"('6', '1', '1982')"
75,Uncommon Carriers,John McPhee,3.95,"<b>What John McPhee's books all have in common is that they are about real people in real places. Here, at his adventurous best, he is out and about with people who work in freight transportation.</b><br /><br /><br />Over the past eight years, John McPhee has spent considerable time in the company of people who work in freight transportation. <i>Uncommon Carriers </i>is his sketchbook of them and of his journeys with them. He rides from Atlanta to Tacoma alongside Don Ainsworth, owner and operator of a sixty-five-foot, <br />eighteen-wheel chemical tanker carrying hazmats. McPhee attends ship-handling school on a pond in the foothills of the French Alps, where, for a tuition of $15,000 a week, skippers of the largest ocean ships refine their capabilities in twenty-foot scale models. He goes up the ""tight-assed"" Illinois River on a<br />""towboat"" pushing a triple string of barges, the overall vessel being ""a good deal longer than the <i>Titanic</i>."" And he travels by canoe up the canal-and-lock commercial waterways traveled by Henry David Thoreau and his brother, John, <br />in a homemade skiff in 1839.<br /><br /><i>Uncommon Carriers </i>is classic work by McPhee, in prose distinguished, as always, by its author's warm humor, keen insight, and rich sense of human character.",248,"('5', '16', '2006')"
76,Heirs of General Practice,John McPhee,4.16,"<i>Heirs of General Practice </i>is a frieze of glimpses of young doctors with patients of every age—about a dozen physicians in all, who belong to the new medical specialty called family practice. They are people who have addressed themselves to a need for a unifying generalism in a world that has become greatly subdivided by specialization, physicians who work with the ""unquantifiable idea that a doctor who treats your grandmother, your father, your niece, and your daughter will be more adroit in treating you.""<br /><br />These young men and women are seen in their examining rooms in various rural communities in Maine, but Maine is only the example. Their medical objectives, their successes, the professional obstacles they do and do not overcome are representative of any place family practitioners are working. While essential medical background is provided, McPhee's masterful approach to a trend significant to all of us is replete with affecting, and often amusing, stories about both doctors and their charges.",128,"('4', '1', '1986')"
77,The Control of Nature,John McPhee,4.25,"While John McPhee was working on his previous book, <i>Rising from the Plains</i>, he happened to walk by the engineering building at the University of Wyoming, where words etched in limestone said: ""Strive on--the control of Nature is won, not given."" In the morning sunlight, that central phrase--""the control of nature""--seemed to sparkle with unintended ambiguity. Bilateral, symmetrical, it could with equal speed travel in opposite directions. For some years, he had been planning a book about places in the world where people have been engaged in all-out battles with nature, about (in the words of the book itself) ""any struggle against natural forces--heroic or venal, rash or well advised--when human beings conscript themselves to fight against the earth, to take what is not given, to rout the destroying enemy, to surround the base of Mt. Olympus demanding and expecting the surrender of the gods."" His interest had first been sparked when he went into the Atchafalaya--the largest river swamp in North America--and had learned that virtually all of its waters were metered and rationed by a U.S. Army Corps of Engineers' project called Old River Control.<br /><br />In the natural cycles of the Mississippi's deltaic plain, the time had come for the Mississippi to change course, to shift its mouth more than a hundred miles and go down the Atchafalaya, one of its distributary branches. The United States could not afford that--for New Orleans, Baton Rouge, and all the industries that lie between would be cut off from river commerce with the rest of the nation. At a place called Old River, the Corps therefore had built a great fortress--part dam, part valve--to restrain the flow of the Atchafalaya and compel the Mississippi to stay where it is.<br /><br />In Iceland, in 1973, an island split open without warning and huge volumes of lava began moving in the direction of a harbor scarcely half a mile away. It was not only Iceland's premier fishing port (accounting for a large percentage of Iceland's export economy) but it was also the only harbor along the nation's southern coast. As the lava threatened to fill the harbor and wipe it out, a physicist named Thorbjorn Sigurgeirsson suggested a way to fight against the flowing red rock--initiating an all-out endeavor unique in human history. On the big island of Hawaii, one of the world's two must eruptive hot spots, people are not unmindful of the Icelandic example. McPhee went to Hawaii to talk with them and to walk beside the edges of a molten lake and incandescent rivers.<br /><br />Some of the more expensive real estate in Los Angeles is up against mountains that are rising and disintegrating as rapidly as any in the world. After a complex coincidence of natural events, boulders will flow out of these mountains like fish eggs, mixed with mud, sand, and smaller rocks in a cascading mass known as debris flow. Plucking up trees and cars, bursting through doors and windows, filling up houses to their eaves, debris flows threaten the lives of people living in and near Los Angeles' famous canyons. At extraordinary expense the city has built a hundred and fifty stadium-like basins in a daring effort to catch the debris.<br /><br />Taking us deep into these contested territories, McPhee details the strategies and tactics through which people attempt to control nature. Most striking in his vivid depiction of the main contestants: nature in complex and awesome guises, and those who would attempt to wrest control from her--stubborn, often ingenious, and always arresting characters.<br />",288,"('9', '1', '1990')"
78,Annals of the Former World,John McPhee,4.35,"The Pulitzer Prize-winning view of the continent, across the fortieth parallel and down through 4.6 billion years<br /><br />Twenty years ago, when John McPhee began his journeys back and forth across the United States, he planned to describe a cross section of North America at about the fortieth parallel and, in the process, come to an understanding not only of the science but of the style of the geologists he traveled with. The structure of the book never changed, but its breadth caused him to complete it in stages, under the overall title <i>Annals of the Former World</i>.<br /><br />Like the terrain it covers, <i>Annals of the Former World</i> tells a multilayered tale, and the reader may choose one of many paths through it. As clearly and succinctly written as it is profoundly informed, this is our finest popular survey of geology and a masterpiece of modern nonfiction.<br /><br /><i>Annals of the Former World </i>is the winner of the 1999 Pulitzer Prize for Nonfiction.",720,"('1', '6', '1999')"
79,Coming Into the Country,John McPhee,4.22,"This is the story of Alaska and the Alaskans. Written with a vividness and clarity which shifts scenes frequently, and yet manages to tie the work into a rewarding whole, McPhee segues from the wilderness to life in urban Alaska to the remote bush country.",448,"('4', '1', '1991')"
80,La Place de la Concorde Suisse,John McPhee,3.93,"<i>La Place de la Concorde Suisse</i> is John McPhee's rich, journalistic study of the Swiss Army's role in Swiss society. The Swiss Army is so quietly efficient at the art of war that the Isrealis carefully patterned their own military on the Swiss model.",160,"('4', '1', '1994')"
81,Giving Good Weight,John McPhee,4.23,"""You people come into the market—the Greenmarket, in the open air under the down pouring sun—and you slit the tomatoes with your fingernails. With your thumbs, you excavate the cheese. You choose your stringbeans one at a time. You pulp the nectarines and rape the sweet corn. You are something wonderful, you are—people of the city—and we, who are almost without exception strangers here, are as absorbed with you as you seem to be with the numbers on our hanging scales."" So opens the title piece in this collection of John McPhee's classic essays, grouped here with four others, including ""Brigade de Cuisine,"" a profile of an artistic and extraordinary chef; ""The Keel of Lake Dickey,"" in which a journey down the whitewater of a wild river ends in the shadow of a huge projected dam; a report on plans for the construction of nuclear power plants that would float in the ocean; and a pinball shoot-out between two prizewinning journalists.",288,"('4', '1', '1994')"
82,"The Second John McPhee Reader (John McPhee Reader, #2)",John McPhee,4.38,"This second volume of <i>The John McPhee Reader</i> includes material from his eleven books published since 1975, including <i>Coming into the Country, Looking for a Ship, The Control of Nature</i>, and the four books on geology that comprise <i>Annals of the Former World</i>.",393,"('2', '28', '1996')"
83,Rising from the Plains,John McPhee,4.23,"<i>This is about high-country geology and a Rocky Mountain regional geologist. I raise that semaphore here at the start so no one will feel misled by an opening passage in which a slim young woman who is not in any sense a geologist steps down from a train in Rawlins, Wyoming, in order to go north by stagecoach into country that was still very much the Old West.</i><br /> <br />So begins John McPhee's <i>Rising from the Plains.</i> If you like to read about geology, you will find good reading here. If, on the other hand, you are not much engaged by the spatial complexities of the science, you could miss a richness of human history that has its place among the strata described. Sometimes it is said of geologists that they reflect in their professional styles the sort of country in which they grew up. Nowhere could that be more true than in the life of a geologist born in the center of Wyoming and raised on an isolated ranch. This is the story of that ranch, soon after the turn of the century, and of the geologist who grew up there, at home with the composition of the high country in the way that someone growing up in a coastal harbor would be at home with the vagaries of the sea. While <i>Rising from the Plains</i> is a portrayal of extraordinary people, it is also a history of the landscape around them, where, with remarkable rapidity, mountains came up out of the flat terrain. Gradually, the mountains were buried, until only the higher peaks remained above a vast plain. Recently, they have been exhumed, and they stand now as the Rockies. <br /><br /><i>Rising from the Plains</i> is John McPhee's third book on geology and geologists. Following <i>Basin and Range</i> and <i>In Suspect Terrain,</i> it continues to present a cross section of North America along the fortieth parallel—a series gathering under the overall title <i>Annals of the Former World.</i><br /><br /><i>Description from the first-edition dust jacket (1986). </i>",208,"('11', '1', '1987')"
85,The Heidi Chronicles,Wendy Wasserstein,3.74,"Comprised of a series of interrelated scenes, the play traces the coming of age of Heidi Holland, a successful art historian, as she tries to find her bearings in a rapidly changing world. Gradually distancing herself from her friends, she watches them move from the idealism and political radicalism of their college years through militant feminism and, eventually, back to the materialism that they had sought to reject in the first place. Heidi's own path to maturity involves an affair with the glib, arrogant Scoop Rosenbaum, a womanizing lawyer/publisher who eventually marries for money and position; a deeper but even more troubling relationship with a charming, witty young pediatrician, Peter Patrone, who turns out to be gay; and increasingly disturbing contacts with the other women, now much changed, who were a part of her childhood and college years. Eventually Heidi comes to accept the fact that liberation can be achieved only if one is true to oneself, with goals that come out of need rather than circumstance. As the play ends she is still ""alone,"" but having adopted an orphaned baby, it is clear that she has begun to find a sense of fulfillment and continuity that may well continue to elude the others of her anxious, self-centered generation.",81,"('3', '1', '2002')"
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,"The graduating seniors of a Seven Sisters college, trying to decide whether to pattern themselves after Katharine Hepburn or Emily Dickinson. Two young women besieged by the demands of mothers, lovers, and careers—not to mention a highly persistent telephone answering machine—as they struggle to have it all. A brilliant feminist art historian trying to keep her bearings and her sense of humor on the elevator ride from the radical sixties to the heartless eighties.<br /><br />Wendy Wasserstein's characters are so funny, so many-sided, and so <i>real</i> that we seem to know them from their Scene One entrances, though the places they go are invariably surprising. And these three plays—<i>Uncommon Women and Others</i>, <i>Isn't It Romantic</i>, and the Pulitzer Prize-winning <i>The Heidi</i> <i>Chronicles</i>—manage to engage us heart, mind, and soul on such a deep and lasting level that they are already recognized as classics of the modern theater.",249,"('7', '2', '1991')"
89,"Active Literacy Across the Curriculum: Strategies for Reading, Writing, Speaking, and Listening",Heidi Hayes Jacobs,3.91,"Highly acclaimed author Heidi Hayes Jacobs shows teachers – at very grade level and in every subject area -- how to integrate the teaching of literacy skills into their daily curriculum. With an emphasis on school wide collaborative planning, she shows how curriculum mapping sustains literacy between grade levels and subjects.<br /><br /><p>Table of Contents<br /><br />Foreword<br />Acknowledgements<br />1. Revising Roles: Every Teacher Becomes an Active Language Teacher<br />2. Teaching English as a Foreign Language: Employing Three Distinctive Types of Vocabulary<br />3. Creative Notetaking: Activating Extraction and Reaction from Texts<br />4. Editing and Revising Independently: Using a Consistent Developmental Policy in Every K-12 Classroom<br />5. Speaking and Listening in Groups: Working with the Discussion Types<br />6. Tuning the Speaking/Listening Instrument: Giving Voice Lessons in Each Classroom<br />7. Mapping Active Literacy: Revising and Integrating Curriculum Maps K-12<br />Bibliography</p>",138,"('3', '29', '2006')"
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,"If gorgeous beaded jewelry always catches your eye, you'll love making (and wearing!) your own necklaces, bracelets and earrings. <i>Simply Beautiful Beaded Jewelry</i> includes 50 projects plus variations in designer <b>Heidi Boyd's</b> simply elegant signature style. Inside you're bound to find plenty of designs to strike your fancy as well as a helpful section that shows you the basic supplies and techniques you'll need to get started. As an added bonus, many of the projects have variations in different colors and styles to help you customize your jewelry to your personal style.<br /><br />Just think how proud you'll feel the first time you can answer, ""I made it myself"" to a compliment on your fabulous new multistrand necklace or your sparkling, swingy crystal earrings. With <i>Simply Beautiful Beaded Jewelry</i>, it truly is easy to get started–in no time at all you'll be showcasing your own original beaded creations and making them as gifts.",128,"('3', '14', '2006')"
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker,4.46,"Even the most desperate poverty, the most devastating illness, the most heart-wrenching grief is not beyond God's help. His love and power have no limits-and that's a message readers from all walks of life need to hear. The modern miracles that Rolland and Heidi Baker experience every day in their work with Mozambique's throwaway children, movingly chronicled in Always Enough, will inspire anyone looking for hope in the midst of suffering. <br />	The Bakers, formerly missionaries in Indonesia and Hong Kong, share how their work for the past eight years in Mozambique, one of the poorest nations on earth, has borne spiritual fruit beyond their wildest dreams. Every day presents multiple impossible needs. But in the face of everything Satan can do, as Rolland and Heidi lay down their lives and ""minister to the one,"" there is always enough. <br />	Readers will discover that the simple practice of choosing to step out and trust God every day unleashes his provision for every need.",192,"('9', '1', '2003')"
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.65,"In Mapping the Big Picture, Heidi Hayes Jacobs describes a seven-step process for creating and working with curriculum maps, from data collection to ongoing curriculum review. She discusses the importance of asking ""essential questions"" and of designing assessments that reflect what teachers know about the students in their care. She also offers a viable alternative to the ""curriculum committees"" that are part of almost every school district in the United States.",108,"('1', '28', '1997')"
93,"Heidi (Heidi, #1-2)",Johanna Spyri,3.99,"Little orphan Heidi goes to live high in the Alps with her gruff grandfather and brings happiness to all who know her on the mountain. When Heidi goes to Frankfurt to work in a wealthy household, she dreams of returning to the mountains and meadows, her friend Peter, and her beloved grandfather.",352,"('11', '15', '2002')"
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.24,"Curriculum mapping is said to remove the clutter that may interfere with learning and teaching. It sorts lessons and units into consistent plans that teachers, schools, and districts can access to ensure content is consistent and also progresses along with students. Jacobs and her contributors describe how to set up a mapping project, work on the project as a team, and use mapping in special settings such as in an independent or alternative school. They show how to create consistent benchmarks and use the resulting maps to integrate new technology, new data, decision-making structures, and staff development opportunities. The appendices include samples.<br /><br />Preparing educators to implement mapping procedures, <br />* Using software to create unique mapping databases, <br />* Integrating decision-making structures and staff development initiatives through mapping, <br />* Helping school communities adjust to new curriculum review processes, and <br />* Making mapping an integral part of literacy training.",192,"('11', '15', '2004')"
95,"Cinnamon and Roses (Rose Trilogy, #1)",Heidi Betts,3.86,"A plain, hardworking seamstress, Rebecca had no business being attracted to wealthy Caleb Adams. Born fatherless in a brothel Rebecca knew what males were made of. And Caleb was clearly as faithless as they came, scandalizing their Kansas cowtown with his fancy city women. Though his carnal lips tempted Rebecca beyond reason, she couldn't afford to love a man like Caleb. For the price might be another fatherless babe....<br /><br />Why, Caleb mused, would he be drawn to a calico-clad dressmaker when sirens in silk were his for the asking? Still, innocent Rebecca unaccountably stirred him. Left him indifferent to costly perfumes. Made him crave her simpler scents of cinnamon and roses. Caleb vowed to trust no woman with his heart. But he had to have sweet Rebecca no matter what the cost....",298,"('1', '1', '2000')"
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker,4.46,"Today in one of Southern Africa's most disaster-torn nations, Rolland and Heidi Baker are at the center of a major move of God's Spirit. The last four years have seen them plant and take responsibility for around 6,000 churches as thousands of Mozambiquans have given their lives to Christ in an unprecedented revival. During this time, they have also witnessed numerous acts of God's power. Miracles of provision, healing, deliverance, and even raising the dead, have become every day occurrences. This adventure began when Rolland and Heidi Baker, founders of IRIS Ministries, and both natives of California, USA, answered God's call to minister to the poorest of the poor. Rolland describes this best in the introduction to the forthcoming book that tells the story, "" There's Always Enough"". In his introduction to the book, Rolland Baker says: ""Jesus developed our faith over the years in many countries and ministry situations for a reason. Today He has given us oversight over five thousand churches in one of the poorest areas of the world. We live in Mozambique, in the south-east corner of Africa, a land that has suffered horribly from decades of warfare and natural disaster. Finally the people are desperate for Jesus and no other. Revival is spreading. In large sections of central Mozambique and southern Malawi we have simple, mud-hut churches in virtually every village. They grow until there are as many as can hear the sound of a preacher's voice."" ""More are being added continuously, and now others in countries around us are calling for ministry and help, desperate to be a part of this fire. The gospel of Jesus Christ is enough for them all. He is good and faithful,the Master Lover. They just want Him. They have been poor and wretched, but now they possess all things in Him. We dare to approach them, we dare to preach to them, we dare to pick up the helpless, abandoned and dying, because He died for us and rose again on our behalf. We eat and drink from His body and blood, and as a result, there will always be enough...""",192,"('4', '28', '2003')"
98,What to Expect the First Year (What to Expect),Heidi Murkoff,3.89,"Some things about babies, happily, will never change. They still arrive warm, cuddly, soft, and smelling impossibly sweet. But how moms and dads care for their brand-new bundles of baby joy has changed—and now, so has the new-baby bible. <br /><br /> Announcing the completely revised third edition of <i>What to Expect the First Year</i>. With over 10.5 million copies in print, <i>First Year</i> is the world’s best-selling, best-loved guide to the instructions that babies don’t come with, but should. And now, it’s better than ever. Every parent’s must-have/go-to is completely updated. <br /><br /> Keeping the trademark month-by-month format that allows parents to take the potentially overwhelming first year one step at a time, <i>First Year</i> is easier-to-read, faster-to-flip-through, and new-family-friendlier than ever—packed with even more practical tips, realistic advice, and relatable, accessible information than before. Illustrations are new, too. <br /><br /> Among the changes: Baby care fundamentals—crib and sleep safety, feeding, vitamin supplements—are revised to reflect the most recent guidelines. Breastfeeding gets more coverage, too, from getting started to keeping it going. Hot-button topics and trends are tackled: attachment parenting, sleep training, early potty learning (elimination communication), baby-led weaning, and green parenting (from cloth diapers to non-toxic furniture). An all-new chapter on buying for baby helps parents navigate through today’s dizzying gamut of baby products, nursery items, and gear. Also new: tips on preparing homemade baby food, the latest recommendations on starting solids, research on the impact of screen time (TVs, tablets, apps, computers), and “For Parents” boxes that focus on mom’s and dad’s needs. Throughout, topics are organized more intuitively than ever, for the best user experience possible.",832,"('10', '16', '2003')"
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss,3.74,"Men have traditionally held tight to the treasured title of ""Player,"" but why shouldn't women be able to call the shots in an affair - whether one-night stand, indeterminate fling, or live-in relationship? In this full-color book featuring vibrant collage-style graphics, Hollywood Madam Heidi Fleiss shows how to gain and keep control. Well versed in the intricacies of the male psyche, Fleiss offers time-tested strategies and hard-won wisdom on how to survive the love-go-round and come out on top. The book covers everything the modern woman needs to know, from cultivating self-esteem (""Be yourself, relax, get naked together"") to post-sex etiquette (""Get up and be on your way with a smile"") to unusual gifts that will keep a man grateful - and drooling (""Put on a crazy sex show "") The Player's Handbook is a witty how-to guide to love and lust for the contemporary woman.",123,"('5', '10', '2004')"
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.80,"Blend your creative spirit with the quick and easy projects found inside Simply Beautiful Beading.<br /><br />From casual to sophisticated, and everything in between, you'll find beading designs to fit your personal style. Inside, you'll discover 53 simple yet stylish beading projects for exquisite jewelry, accessories and home decor, including: <br />•modern glass bead chokers<br />•semiprecious stone set<br />•charm bracelets<br />•wired-pearl barrettes<br />•wineglass charms<br />•hanging votive candle holder<br />•and more than 35 variation projects for even more simply beautiful ideas!",128,"('8', '19', '2004')"
101,Chasing Jordan,Heidi W. Boehringer,3.46,"“A story of love and loss, <i>Chasing Jordan</i> is a quiet novel with a thunderclap at its heart. With this first novel, Ms. Boehringer gives notice that she is a writer to watch. This is my kind of novel. Whatever Heidi Boehringer writes next, I will read.”—Harry Crews<br /><br />When Meg approaches home with her daughter in the back seat, she sees her husband spying on the neighbor, who is gardening in very short shorts. In this moment of distraction, she hits and kills her two-year-old son, Jordan.<br /><br />With humor that is both provocative and totally unpredictable, <i>Chasing Jordan</i> shows how the road to forgiveness is both twisted and dangerous.",240,"('7', '11', '2005')"
102,Seven-Year Seduction,Heidi Betts,3.59,"<p>
  <b>Connor Riordan was the last Person she wanted to walk down the aisle with...</b>
</p><p>Even if it was only at her brother's wedding. It was too painful a reminder of Beth Curtis's girlhood fantasies, featuring none other than Connor himself. That crush had culminated in one night of passion and seven years of bitterness; and even now, Beth's anger warred against her attraction toward Connor. Still, there was too much history--too many secrets--that would prevent her from ever loving him again.</p><p>But when a storm strands the two together, Beth is in for a surprise. Connor has a secret of his own. He plans on seducing Beth--a seduction seven years in the making...</p>",184,"('2', '14', '2006')"
103,"God Emperor of Dune (Dune Chronicles, #4)",Frank Herbert,3.86,"Centuries have passed on Dune, and the planet is green with life. Leto, the son of Dune's savior, is still alive but far from human, and the fate of all humanity hangs on his awesome sacrifice...""Rich fare...heady stuff.""--<b>Los Angeles Times</b>",423,"('6', '15', '1987')"
104,"Dune (Dune Chronicles, #1)",Frank Herbert,4.23,"Here is the novel that will be forever considered a triumph of the imagination. Set on the desert planet Arrakis, <i>Dune</i> is the story of the boy Paul Atreides, who would become the mysterious man known as Muad'Dib. He would avenge the traitorous plot against his noble family—and would bring to fruition humankind's most ancient and unattainable dream. <br /><br />A stunning blend of adventure and mysticism, environmentalism and politics, <i>Dune</i> won the first Nebula Award, shared the Hugo Award, and formed the basis of what is undoubtedly the grandest epic in science fiction.",528,"('8', '2', '2005')"
105,Chapterhouse: Dune (Dune #6),Frank Herbert,3.91,"The desert planet Arrakis, called Dune, has been destroyed. Now, the Bene Gesserit, heirs to Dune's power, have colonized a green world--and are turning it into a desert, mile by scorched mile.<br />Here is the last book <b>Frank Herbert</b> wrote before his death. A stunning climax to the epic Dune legend that will live on forever...",436,"('7', '1', '1987')"
106,Dune Messiah (Dune #2),Frank Herbert,3.88,"<b>Dune Messiah</b> continues the story of the man Muad'dib, heir to a power unimaginable, bringing to completion the centuries-old scheme to create a super-being.""Brilliant...It is all that <b>Dune</b> was, and maybe a little bit more.""--<b>Galaxy Magazine</b>",331,"('7', '15', '1987')"
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,"<b>Everyone knows Frank Herbert's Dune.</b><br /><br />This amazing and complex epic, combining politics, religion, human evolution, and ecology, has captured the imagination of generations of readers. One of the most popular science fiction novels ever written, it has become a worldwide phenomenon, winning awards, selling millions of copies around the world. In the prophetic year of 1984, <i>Dune</i> was made into a motion picture directed by David Lynch, and it has recently been produced as a three-part miniseries on the Sci-Fi Channel. Though he is best remembered for <i>Dune</i>, Frank Herbert was the author of more than twenty books at the time of his tragic death in 1986, including such classic novels as <i>The Green Brain, The Santaroga Barrier, The White Plague</i> and <i>Dosadi Experiment</i>.<br /><br />Brian Herbert, Frank Herbert's eldest son, tells the provocative story of his father's extraordinary life in this honest and loving chronicle. He has also brought to light all the events in Herbert's life that would find their way into speculative fiction's greatest epic.<br /><br />From his early years in Tacoma, Washington, and his education at the University of Washington, Seattle, and in the Navy, through the years of trying his hand as a TV cameraman, radio commentator, reporter, and editor of several West Coast newspaper, to the difficult years of poverty while struggling to become a published writer, Herbert worked long and hard before finding success after the publication of <i>Dune</i> in 1965. Brian Herbert writes about these years with a truthful intensity that brings every facet of his father's brilliant, and sometimes troubled, genius to full light.<br /><br />Insightful and provocative, containing family photos never published anywhere, this absorbing biography offers Brian Herbert' unique personal perspective on one of the most enigmatic and creative talents of our time.<br /><br /><i>Dreamer of Dune</i> is a 2004 Hugo Award Nominee for Best Related Work.",592,"('7', '1', '2004')"
